college_code,avg_package_lpa,highest_package_lpa,placement_rate_pct
EN3221,N/A,N/A,N/A
EN3222,N/A,N/A,N/A
EN3223,6.5,25.0,70.0
EN3224,N/A,N/A,N/A
EN3277,N/A,N/A,N/A
EN3351,N/A,N/A,N/A
EN3353,N/A,N/A,N/A
EN3423,N/A,N/A,N/A
EN3436,N/A,N/A,N/A
EN3440,N/A,N/A,N/A
EN3445,N/A,N/A,N/A
EN3447,N/A,N/A,N/A
EN3462,N/A,N/A,N/A
EN3465,N/A,N/A,N/A
EN3467,N/A,N/A,N/A
EN3470,N/A,N/A,N/A
EN3471,N/A,N/A,N/A
EN3475,N/A,N/A,N/A
EN3477,N/A,N/A,N/A
EN3503,N/A,N/A,N/A
EN3721,N/A,N/A,N/A
EN4116,6.0,25.0,70.0
EN4123,5.5,20.0,65.0
EN4133,5.0,18.0,62.0
EN4134,5.0,18.0,62.0
EN4135,5.0,18.0,62.0
EN4137,5.0,18.0,62.0
EN4138,5.0,18.0,62.0
EN4139,N/A,N/A,N/A
EN4141,5.5,20.0,65.0
EN4142,6.0,25.0,70.0
EN4143,5.5,20.0,65.0
EN4144,5.5,20.0,65.0
EN4145,5.0,18.0,60.0
EN4147,N/A,N/A,N/A
EN4151,N/A,N/A,N/A
EN4163,N/A,N/A,N/A
EN4167,N/A,N/A,N/A
EN4172,5.0,18.0,60.0
EN4174,N/A,N/A,N/A
EN4175,N/A,N/A,N/A
EN4177,N/A,N/A,N/A
EN4181,N/A,N/A,N/A
EN4188,N/A,N/A,N/A
EN4190,N/A,N/A,N/A
EN4192,N/A,N/A,N/A
EN4193,N/A,N/A,N/A
EN4196,N/A,N/A,N/A
EN4197,N/A,N/A,N/A
EN4285,N/A,N/A,N/A
EN4302,N/A,N/A,N/A
EN4304,N/A,N/A,N/A
EN4613,N/A,N/A,N/A
EN4648,N/A,N/A,N/A
EN4649,N/A,N/A,N/A
EN4679,N/A,N/A,N/A
EN5103,5.0,18.0,62.0
EN5104,5.0,18.0,62.0
EN5106,5.0,18.0,62.0
EN5108,4.5,15.0,58.0
EN5109,4.5,15.0,58.0
EN5121,5.0,18.0,62.0
EN5124,4.5,15.0,58.0
EN5125,4.5,15.0,58.0
EN5139,N/A,N/A,N/A
EN5160,5.0,18.0,62.0
EN5161,5.0,18.0,62.0
EN5162,4.5,15.0,58.0
EN5164,5.0,18.0,62.0
EN5168,4.5,15.0,58.0
EN5169,4.5,15.0,58.0
EN5170,4.5,15.0,58.0
EN5171,5.0,18.0,62.0
EN5172,4.5,15.0,58.0
EN5173,4.5,15.0,58.0
EN5177,5.5,20.0,65.0
EN5179,5.0,18.0,62.0
EN5180,5.0,18.0,62.0
EN5181,4.5,15.0,58.0
EN5182,4.5,15.0,58.0
EN5184,4.5,15.0,58.0
EN5244,N/A,N/A,N/A
EN5303,N/A,N/A,N/A
EN5322,N/A,N/A,N/A
EN5330,N/A,N/A,N/A
EN5331,N/A,N/A,N/A
EN5365,N/A,N/A,N/A
EN5380,N/A,N/A,N/A
EN5381,N/A,N/A,N/A
EN5382,N/A,N/A,N/A
EN5390,N/A,N/A,N/A
EN5396,N/A,N/A,N/A
EN5399,N/A,N/A,N/A
EN5401,N/A,N/A,N/A
EN5408,N/A,N/A,N/A
EN5409,N/A,N/A,N/A
EN5411,N/A,N/A,N/A
EN5418,N/A,N/A,N/A
EN5449,N/A,N/A,N/A
EN5497,N/A,N/A,N/A
EN6122,N/A,N/A,N/A
EN6138,N/A,N/A,N/A
EN6139,6.0,22.0,68.0
EN6141,N/A,N/A,N/A
EN6144,N/A,N/A,N/A
EN6145,N/A,N/A,N/A
EN6146,7.0,35.0,75.0
EN6149,N/A,N/A,N/A
EN6155,N/A,N/A,N/A
EN6156,6.0,22.0,68.0
EN6175,N/A,N/A,N/A
EN6177,5.0,20.0,65.0
EN6178,N/A,N/A,N/A
EN6179,N/A,N/A,N/A
EN6182,5.0,20.0,65.0
EN6183,N/A,N/A,N/A
EN6184,N/A,N/A,N/A
EN6185,5.0,20.0,65.0
EN6187,5.0,20.0,65.0
EN6203,N/A,N/A,N/A
EN6206,N/A,N/A,N/A
EN6207,5.5,20.0,65.0
EN6214,5.0,16.0,62.0
EN6217,N/A,N/A,N/A
EN6219,N/A,N/A,N/A
EN6220,N/A,N/A,N/A
EN6222,N/A,N/A,N/A
EN6223,N/A,N/A,N/A
EN6250,N/A,N/A,N/A
EN6265,4.69,12.4,60.0
EN6267,5.5,18.0,65.0
EN6268,4.5,14.0,58.0
EN6269,N/A,N/A,N/A
EN6270,4.5,14.0,58.0
EN6271,10.11,33.57,92.89
EN6272,5.5,20.0,65.0
EN6273,8.55,45.0,86.2
EN6274,6.0,22.0,68.0
EN6275,N/A,N/A,N/A
EN6276,12.71,50.0,86.0
EN6277,N/A,N/A,N/A
EN6278,6.0,22.0,68.0
EN6281,9.32,52.57,78.1
EN6282,6.0,22.0,68.0
EN6283,N/A,N/A,N/A
EN6284,N/A,N/A,N/A
EN6285,6.0,22.0,70.0
EN6288,5.5,18.0,65.0
EN6293,N/A,N/A,N/A
EN6298,N/A,N/A,N/A
EN6303,N/A,N/A,N/A
EN6304,N/A,N/A,N/A
EN6305,N/A,N/A,N/A
EN6307,N/A,N/A,N/A
EN6308,N/A,N/A,N/A
EN6310,N/A,N/A,N/A
EN6311,N/A,N/A,N/A
EN6313,N/A,N/A,N/A
EN6315,N/A,N/A,N/A
EN6317,N/A,N/A,N/A
EN6318,N/A,N/A,N/A
EN6319,N/A,N/A,N/A
EN6320,N/A,N/A,N/A
EN6321,N/A,N/A,N/A
EN6322,N/A,N/A,N/A
EN6324,N/A,N/A,N/A
EN6325,N/A,N/A,N/A
EN6326,N/A,N/A,N/A
EN6444,N/A,N/A,N/A
EN6466,N/A,N/A,N/A
EN6468,N/A,N/A,N/A
EN6545,N/A,N/A,N/A
EN6609,N/A,N/A,N/A
EN6622,N/A,N/A,N/A
EN6625,N/A,N/A,N/A
EN6628,N/A,N/A,N/A
EN6632,N/A,N/A,N/A
EN6634,N/A,N/A,N/A
EN6635,N/A,N/A,N/A
EN6640,5.0,20.0,65.0
EN6643,5.0,20.0,65.0
EN6644,N/A,N/A,N/A
EN6649,N/A,N/A,N/A
EN6732,N/A,N/A,N/A
EN6754,N/A,N/A,N/A
EN6755,N/A,N/A,N/A
EN6756,N/A,N/A,N/A
EN6757,N/A,N/A,N/A
EN6758,N/A,N/A,N/A
EN6759,N/A,N/A,N/A
EN6762,N/A,N/A,N/A
EN6766,N/A,N/A,N/A
EN6767,N/A,N/A,N/A
EN6768,N/A,N/A,N/A
EN6769,5.0,20.0,65.0
EN6770,5.0,20.0,65.0
EN6772,5.0,20.0,65.0
EN6780,N/A,N/A,N/A
EN6781,N/A,N/A,N/A
EN6782,N/A,N/A,N/A
EN6794,N/A,N/A,N/A
EN6795,N/A,N/A,N/A
EN6796,6.0,22.0,70.0
EN6797,N/A,N/A,N/A
EN6799,N/A,N/A,N/A
EN6803,N/A,N/A,N/A
EN6808,N/A,N/A,N/A
EN6811,N/A,N/A,N/A
EN6815,N/A,N/A,N/A
EN6822,6.5,25.0,72.0
EN6834,N/A,N/A,N/A
EN6839,N/A,N/A,N/A
EN6878,N/A,N/A,N/A
EN6901,N/A,N/A,N/A
EN6938,N/A,N/A,N/A
EN6991,N/A,N/A,N/A
HM2508,N/A,N/A,N/A
MB5152,N/A,N/A,N/A
MC5151,N/A,N/A,N/A
